DATE OCC,Crm Cd Desc,AREA NAME,DR NO
11/25/2014,BIKE - STOLEN,Wilshire,1
04/29/2014,BIKE - STOLEN,Hollywood,2
05/06/2014,BIKE - STOLEN,Foothill,1
02/22/2014,BIKE - STOLEN,Central,3
11/14/2014,BIKE - STOLEN,Rampart,2
06/30/2014,BIKE - STOLEN,Olympic,1
12/04/2014,BIKE - STOLEN,West Valley,1
08/03/2014,BIKE - STOLEN,Rampart,1
04/21/2014,BIKE - STOLEN,Southwest,1
05/15/2014,BIKE - STOLEN,Hollywood,1
12/15/2014,BIKE - STOLEN,Northeast,2
06/04/2014,BIKE - STOLEN,Central,1
11/05/2014,BIKE - STOLEN,Hollenbeck,1
06/20/2014,BIKE - STOLEN,Central,1
05/26/2014,BIKE - STOLEN,Wilshire,1
09/16/2014,BIKE - STOLEN,Northeast,2
10/22/2014,BIKE - STOLEN,Olympic,1
04/11/2014,BIKE - STOLEN,N Hollywood,1
11/06/2014,BIKE - STOLEN,Hollywood,1
02/04/2014,BIKE - STOLEN,Olympic,1
11/24/2014,BIKE - STOLEN,Hollywood,1
07/07/2014,BIKE - STOLEN,Central,1
10/05/2014,BIKE - STOLEN,Northeast,2
12/21/2014,BIKE - STOLEN,Wilshire,2
09/16/2014,BIKE - STOLEN,N Hollywood,1
06/06/2014,BIKE - STOLEN,Rampart,2
06/03/2014,BIKE - STOLEN,Northeast,2
05/20/2014,BIKE - STOLEN,Central,1
06/30/2014,BIKE - STOLEN,Central,1
09/05/2014,BIKE - STOLEN,Central,1
02/22/2014,BIKE - STOLEN,Olympic,1
06/04/2014,BIKE - STOLEN,Olympic,1
11/25/2013,BIKE - STOLEN,Central,1
04/19/2014,BIKE - STOLEN,Northeast,3
06/01/2014,BIKE - STOLEN,Northeast,1
04/08/2014,BIKE - STOLEN,Central,1
09/20/2014,BIKE - STOLEN,Hollywood,1
08/07/2014,BIKE - STOLEN,Hollenbeck,1
08/27/2014,BIKE - STOLEN,Northeast,4
08/08/2014,BIKE - STOLEN,Hollenbeck,1
02/20/2014,BIKE - STOLEN,N Hollywood,1
11/02/2014,BIKE - STOLEN,Hollywood,1
05/05/2014,BIKE - STOLEN,Hollywood,1
12/29/2014,BIKE - STOLEN,Hollenbeck,1
08/17/2014,BIKE - STOLEN,Central,2
12/22/2014,BIKE - STOLEN,Wilshire,1
04/21/2014,BIKE - STOLEN,Central,1
12/20/2013,BIKE - STOLEN,Central,1
08/24/2014,BIKE - STOLEN,Hollenbeck,1
11/10/2014,BIKE - STOLEN,Central,2
06/27/2014,BIKE - STOLEN,West LA,1
06/20/2014,BIKE - STOLEN,Van Nuys,1
05/24/2014,BIKE - STOLEN,Northeast,1
12/13/2014,BIKE - STOLEN,Rampart,1
01/29/2014,BIKE - STOLEN,77th Street,1
10/09/2014,BIKE - STOLEN,Northeast,1
03/23/2014,BIKE - STOLEN,Wilshire,1
07/04/2014,BIKE - STOLEN,Northeast,1
07/18/2014,BIKE - STOLEN,Southwest,1
07/01/2014,BIKE - STOLEN,Hollenbeck,1
08/20/2014,BIKE - STOLEN,Central,1
11/26/2014,BIKE - STOLEN,Southwest,1
07/29/2014,BIKE - STOLEN,Hollenbeck,1
12/05/2014,BIKE - STOLEN,Harbor,1
02/12/2014,BIKE - STOLEN,Northeast,3
05/16/2014,BIKE - STOLEN,Wilshire,2
05/15/2014,BIKE - STOLEN,Southwest,1
09/02/2014,BIKE - STOLEN,Wilshire,1
09/20/2014,BIKE - STOLEN,Olympic,4
10/06/2014,BIKE - STOLEN,Rampart,1
07/13/2014,BIKE - STOLEN,Central,1
11/02/2014,BIKE - STOLEN,Olympic,1
05/05/2014,BIKE - STOLEN,Olympic,1
04/26/2014,BIKE - STOLEN,Central,2
03/14/2014,BIKE - STOLEN,Olympic,1
10/09/2014,BIKE - STOLEN,West Valley,1
07/09/2014,BIKE - STOLEN,Northeast,1
01/20/2014,BIKE - STOLEN,West LA,1
04/08/2014,BIKE - STOLEN,Hollywood,1
03/11/2014,BIKE - STOLEN,Central,2
12/24/2014,BIKE - STOLEN,Hollenbeck,1
05/31/2014,BIKE - STOLEN,Northeast,2
10/19/2014,BIKE - STOLEN,Central,2
06/24/2014,BIKE - STOLEN,Rampart,3
09/20/2014,BIKE - STOLEN,Central,1
04/18/2014,BIKE - STOLEN,Olympic,2
06/10/2014,BIKE - STOLEN,Central,1
07/13/2014,BIKE - STOLEN,Olympic,1
07/16/2014,BIKE - STOLEN,Harbor,1
11/05/2014,BIKE - STOLEN,Devonshire,1
06/24/2014,BIKE - STOLEN,Devonshire,1
11/29/2014,BIKE - STOLEN,Central,2
06/08/2014,BIKE - STOLEN,77th Street,1
05/09/2014,BIKE - STOLEN,Olympic,1
01/13/2014,BIKE - STOLEN,Devonshire,1
08/07/2014,BIKE - STOLEN,Rampart,1
11/13/2014,BIKE - STOLEN,Wilshire,1
10/10/2014,BIKE - STOLEN,West Valley,2
09/19/2014,BIKE - STOLEN,Hollywood,1
08/01/2014,BIKE - STOLEN,Foothill,1
09/13/2014,BIKE - STOLEN,Northeast,2
11/06/2014,BIKE - STOLEN,Central,1
10/16/2014,BIKE - STOLEN,Mission,1
05/28/2014,BIKE - STOLEN,Rampart,1
04/29/2014,BIKE - STOLEN,Olympic,1
05/04/2014,BIKE - STOLEN,Foothill,1
06/26/2014,BIKE - STOLEN,Northeast,1
08/07/2014,BIKE - STOLEN,Devonshire,1
02/17/2014,BIKE - STOLEN,Rampart,1
05/09/2014,BIKE - STOLEN,Central,2
02/06/2014,BIKE - STOLEN,Foothill,1
08/10/2014,BIKE - STOLEN,Harbor,2
07/01/2014,BIKE - STOLEN,Devonshire,1
07/05/2014,BIKE - STOLEN,Northeast,1
11/20/2014,BIKE - STOLEN,Hollenbeck,1
12/12/2014,BIKE - STOLEN,Southwest,1
